platform,komentar,clean,stopword,stemming,sentimen
YouTube,"Biasa setelah selesai bioskop
Versi digital Ku harap netflix","biasa setelah selesai bioskop
versi digital ku harap netflix",selesai bioskop versi digital ku harap netflix,selesai bioskop versi digital ku harap netflix,netral
YouTube,"Ternyata tayang di sini kmrn akhirnya nonton, 9/10 udah lama ga ketawa kayak kemarin",ternyata tayang di sini kmrn akhirnya nonton  udah lama ga ketawa kayak kemarin,tayang kmrn nonton udah ga ketawa kayak kemarin,tayang kmrn nonton udah ga ketawa kayak kemarin,netral
YouTube,emang lucu kok ... resiko cacat,emang lucu kok  resiko cacat,emang lucu resiko cacat,emang lucu resiko cacat,positif
YouTube," @bakkedbakkon  jadi orang cacat itu salah mrk jd cacat lalu dibuat bahan olok2, gitu?", bakkedbakkon  jadi orang cacat itu salah mrk jd cacat lalu dibuat bahan olok gitu,bakkedbakkon orang cacat salah mrk jd cacat bahan olok gitu,bakkedbakkon orang cacat salah mrk jd cacat bahan olok gitu,netral
YouTube, @bakkedbakkon   jadi orang cacat itu salah mrk kalo mrk cacat dan jd bahan olok2 gitu?, bakkedbakkon   jadi orang cacat itu salah mrk kalo mrk cacat dan jd bahan olok gitu,bakkedbakkon orang cacat salah mrk kalo mrk cacat jd bahan olok gitu,bakkedbakkon orang cacat salah mrk kalo mrk cacat jd bahan olok gitu,netral
YouTube,Difabel nya komika kan? Memang dia lagi ngelucu. Kalo dia gak ngelucu gak ada yang ketawa² lah.,difabel nya komika kan memang dia lagi ngelucu kalo dia gak ngelucu gak ada yang ketawa lah,difabel nya komika ngelucu kalo gak ngelucu gak ketawa,difabel nya komika ngelucu kalo gak ngelucu gak ketawa,positif
YouTube, @Tungguakudi-7  Film komedi bisa kok tanpa ada unsur diskriminasi thd difabel seperti itu. Kalo anda hrs nunggu konten shaming difabel seperti itu untuk bisa ketawa maka moral anda hrs dipertanyakan, tungguakudi  film komedi bisa kok tanpa ada unsur diskriminasi thd difabel seperti itu kalo anda hrs nunggu konten shaming difabel seperti itu untuk bisa ketawa maka moral anda hrs dipertanyakan,tungguakudi film komedi unsur diskriminasi thd difabel kalo hrs nunggu konten shaming difabel ketawa moral hrs,tungguakudi film komedi unsur diskriminasi thd difabel kalo hrs nunggu konten shaming difabel ketawa moral hrs,netral
YouTube,ya mereka ber 4 kan ibarat tokoh utama yg selalu muncul,ya mereka ber  kan ibarat tokoh utama yg selalu muncul,ya ber tokoh utama yg muncul,ya ber tokoh utama yg muncul,netral
YouTube,Aman tenang aja,aman tenang aja,aman tenang aja,aman tenang aja,netral
YouTube,Gue nnton ini ampe 2x dong msh seruuuu kocak bgt,gue nnton ini ampe x dong msh seruuuu kocak bgt,gue nnton ampe x msh seruuuu kocak bgt,gue nnton ampe x msh seruuuu kocak bgt,positif
YouTube,Kak mohon jawab anak kls6 SD sudah bisa ngak nonton film ini?,kak mohon jawab anak kls sd sudah bisa ngak nonton film ini,kak mohon anak kls sd ngak nonton film,kak mohon anak kls sd ngak nonton film,netral
YouTube,Keren banget horor nya dapet drama sedih nya dapet dan yang jelas komedi nya dapet ❤🎉,keren banget horor nya dapet drama sedih nya dapet dan yang jelas komedi nya dapet ,keren banget horor nya dapet drama sedih nya dapet komedi nya dapet,keren banget horor nya dapet drama sedih nya dapet komedi nya dapet,positif
YouTube,"akhirnya trailer yang gak nampilin jalan cerita dari awal sampe akhir film :"")",akhirnya trailer yang gak nampilin jalan cerita dari awal sampe akhir film ,trailer gak nampilin jalan cerita sampe film,trailer gak nampilin jalan cerita sampe film,netral
YouTube,Ibumu pasti bangga,ibumu pasti bangga,ibumu bangga,ibu bangga,netral
YouTube,"Parahhh lucu banget wkwk, Cuss bioskop yang belum nonton",parahhh lucu banget wkwk cuss bioskop yang belum nonton,parahhh lucu banget wkwk cuss bioskop nonton,parahhh lucu banget wkwk cuss bioskop nonton,positif
YouTube,Tayang sampai kapan min?,tayang sampai kapan min,tayang min,tayang min,netral
YouTube,yok bisa tembus 4 juta,yok bisa tembus  juta,yok tembus juta,yok tembus juta,netral
YouTube,"Keren filmnya
TOP BGT
Layak dibikin sequel
Cuma jgn sampe sequelnya melempem yah kayak film cek toko sebelah","keren filmnya
top bgt
layak dibikin sequel
cuma jgn sampe sequelnya melempem yah kayak film cek toko sebelah",keren filmnya top bgt layak dibikin sequel jgn sampe sequelnya melempem yah kayak film cek toko sebelah,keren film top bgt layak bikin sequel jgn sampe sequelnya melempem yah kayak film cek toko belah,positif
YouTube,Sampe kaku rahang nyong . Ketawa terus sampe BTS nya ngakak,sampe kaku rahang nyong  ketawa terus sampe bts nya ngakak,sampe kaku rahang nyong ketawa sampe bts nya ngakak,sampe kaku rahang nyong ketawa sampe bts nya ngakak,netral
YouTube,"Keren bangettttt 🔥 🔥 
asli keren, wajib nonton !!

gila banget ini film dari awal sampe akhir ketawa terus 😂😂😂 pokonya gw mau nonton lagi .. wkwkwkwk","keren bangettttt   
asli keren wajib nonton 

gila banget ini film dari awal sampe akhir ketawa terus  pokonya gw mau nonton lagi  wkwkwkwk",keren bangettttt asli keren wajib nonton gila banget film sampe ketawa pokonya gw nonton wkwkwkwk,keren bangettttt asli keren wajib nonton gila banget film sampe ketawa poko gw nonton wkwkwkwk,positif
YouTube,Udah nonton lucu bangeett 10/10,udah nonton lucu bangeett ,udah nonton lucu bangeett,udah nonton lucu bangeett,positif
YouTube,"pecah banget sumpah, komika sumatra ini ya 🤣🤣",pecah banget sumpah komika sumatra ini ya ,pecah banget sumpah komika sumatra ya,pecah banget sumpah komika sumatra ya,netral
YouTube,Komika memang hebat semua terutama bang Boris dkk,komika memang hebat semua terutama bang boris dkk,komika hebat bang boris dkk,komika hebat bang bor dkk,positif
YouTube,"Film nya asli  keren bgt ,bikin ketawa ampek capek 😅😅",film nya asli  keren bgt bikin ketawa ampek capek ,film nya asli keren bgt bikin ketawa ampek capek,film nya asli keren bgt bikin ketawa ampek capek,positif
YouTube,"Gak relate, senyum jg nggak",gak relate senyum jg nggak,gak relate senyum jg nggak,gak relate senyum jg nggak,netral
YouTube,"Aku dah nonton bang
Bangga kali aku nengok hasil karya sesama anak SUMUT 🙂🙂🙂","aku dah nonton bang
bangga kali aku nengok hasil karya sesama anak sumut ",dah nonton bang bangga kali nengok hasil karya anak sumut,dah nonton bang bangga kali nengok hasil karya anak sumut,netral
YouTube,Tanyang in full film nya dong di ytb!!!!,tanyang in full film nya dong di ytb,tanyang in full film nya ytb,tanyang in full film nya ytb,netral
YouTube,"Horornya 25%
Lawaknya 90%
Sedihnya 20%
Embel2nya 10%

Debessssssss lahh isinya dominan komedi😂😂😂","horornya 
lawaknya 
sedihnya 
embelnya 

debessssssss lahh isinya dominan komedi",horornya lawaknya sedihnya embelnya debessssssss lahh isinya dominan komedi,horor lawak sedih embel debessssssss lahh isi dominan komedi,netral
YouTube,Pengen nonton. Tapi kok Gak ada dibioskop Amerika sih😢,pengen nonton tapi kok gak ada dibioskop amerika sih,pengen nonton gak dibioskop amerika sih,ken nonton gak bioskop amerika sih,netral
YouTube,"Ada jokes dewasa tapi bukan yang asusila, jadi aman aja sih, asal bisa jelasin ke anaknya",ada jokes dewasa tapi bukan yang asusila jadi aman aja sih asal bisa jelasin ke anaknya,jokes dewasa asusila aman aja sih jelasin anaknya,jokes dewasa asusila aman aja sih jelasin anak,netral
YouTube,ok...,ok,ok,ok,netral
YouTube,"Nonton dulu, klo dah nonton lu kaya gt, lu sakit bwrati",nonton dulu klo dah nonton lu kaya gt lu sakit bwrati,nonton klo dah nonton lu kaya gt lu sakit bwrati,nonton klo dah nonton lu kaya gt lu sakit bwrati,netral
YouTube,"Sbar nunngu masuk netflix, vidio, viu dll kak",sbar nunngu masuk netflix vidio viu dll kak,sbar nunngu masuk netflix vidio viu dll kak,sbar nunngu masuk netflix vidio viu dll kak,netral
YouTube,"​​​ @raumraumancerita261 tapi beda lho luar netflix indo ku yakin gak masuk film ini luar indo
Setiap netflix negara beda"" Isi film"," raumraumancerita tapi beda lho luar netflix indo ku yakin gak masuk film ini luar indo
setiap netflix negara beda isi film",raumraumancerita beda lho netflix indo ku gak masuk film indo netflix negara beda isi film,raumraumancerita beda lho netflix indo ku gak masuk film indo netflix negara beda isi film,netral
YouTube,"kek bangsat ni film, LUCU BGT ,, parahhhh, wkwkwkkw",kek bangsat ni film lucu bgt  parahhhh wkwkwkkw,kek bangsat ni film lucu bgt parahhhh wkwkwkkw,kek bangsat ni film lucu bgt parahhhh wkwkwkkw,positif
YouTube,Ini the next..Dono Kasino Indro saya Haqul yakin..Lucu sekali 😂😂😂😂,ini the nextdono kasino indro saya haqul yakinlucu sekali ,the nextdono kasino indro haqul yakinlucu,the nextdono kasino indro haqul yakinlucu,positif
YouTube,"Daripada pusing ngeributin capres ayo langsung aja nonton Film Agak Laen .. Lucu Sangat, Ngeri Sangat, Terharu Sangat, Heboh Sangat … Puji Tuhan Alhamdullilah Sangat ...Sudah Tembus 3 juta orang tertawa jantungan sangat …",daripada pusing ngeributin capres ayo langsung aja nonton film agak laen  lucu sangat ngeri sangat terharu sangat heboh sangat  puji tuhan alhamdullilah sangat sudah tembus  juta orang tertawa jantungan sangat ,pusing ngeributin capres ayo langsung aja nonton film laen lucu ngeri terharu heboh puji tuhan alhamdullilah tembus juta orang tertawa jantungan,pusing ngeributin capres ayo langsung aja nonton film laen lucu ngeri haru heboh puji tuhan alhamdullilah tembus juta orang tertawa jantung,positif
YouTube,Aq ud ntn lucu banget 😅😅😅,aq ud ntn lucu banget ,aq ud ntn lucu banget,aq ud ntn lucu banget,positif
YouTube,"Hahahah ane barusan Nonton.. 
Ngakak full perut ane sakit parah 🤣🤣🤣🤣🤣 Sukses terus agak lain 👏👏👏","hahahah ane barusan nonton 
ngakak full perut ane sakit parah  sukses terus agak lain ",hahahah ane barusan nonton ngakak full perut ane sakit parah sukses,hahahah ane barusan nonton ngakak full perut ane sakit parah sukses,netral
YouTube,barusan gw sama keluarga gw nonton film ini betul betul pecah sih ketawa kita wkwk tapi ada bagian sedihnya juga menurut gw film kali ini gw kasih bintang ⭐⭐⭐⭐⭐ film ini bener bener kocak cuy apalagi pemainnya lawak semua wkwk segitu aja dr gw semangat untuk terus berkarya okey see you,barusan gw sama keluarga gw nonton film ini betul betul pecah sih ketawa kita wkwk tapi ada bagian sedihnya juga menurut gw film kali ini gw kasih bintang  film ini bener bener kocak cuy apalagi pemainnya lawak semua wkwk segitu aja dr gw semangat untuk terus berkarya okey see you,barusan gw keluarga gw nonton film pecah sih ketawa wkwk sedihnya gw film kali gw kasih bintang film bener bener kocak cuy pemainnya lawak wkwk segitu aja dr gw semangat berkarya okey see you,barusan gw keluarga gw nonton film pecah sih ketawa wkwk sedih gw film kali gw kasih bintang film bener bener kocak cuy main lawak wkwk segitu aja dr gw semangat karya okey see you,netral
YouTube,"Emang bener nonton film gk usah nonton trailernya dulu 😂
Pas nonton filmnya kocak poll, iseng nonton trailernya serasa trailer komedi mainstream hahaha ✌️","emang bener nonton film gk usah nonton trailernya dulu 
pas nonton filmnya kocak poll iseng nonton trailernya serasa trailer komedi mainstream hahaha ",emang bener nonton film gk nonton trailernya pas nonton filmnya kocak poll iseng nonton trailernya serasa trailer komedi mainstream hahaha,emang bener nonton film gk nonton trailer pas nonton film kocak poll iseng nonton trailer serasa trailer komedi mainstream hahaha,netral
YouTube,Mantap bng filmnya apalagi pas ngencingin mayatnya,mantap bng filmnya apalagi pas ngencingin mayatnya,mantap bng filmnya pas ngencingin mayatnya,mantap bng film pas ngencingin mayat,positif
YouTube,Lucu kaliiiiii….,lucu kaliiiiii,lucu kaliiiiii,lucu kaliiiiii,positif
YouTube,Dijamin ngakak. Rugi g nonton,dijamin ngakak rugi g nonton,dijamin ngakak rugi g nonton,jamin ngakak rugi g nonton,netral
YouTube,"Akhirnya nonton juga, gara2 nunggu di mall kelamaan",akhirnya nonton juga gara nunggu di mall kelamaan,nonton gara nunggu mall,nonton gara nunggu mall,netral
YouTube,Ini lucu banget woii 🤣😭kalian wajib nonton 👏🏻👏🏻👏🏻,ini lucu banget woii kalian wajib nonton ,lucu banget woii wajib nonton,lucu banget woii wajib nonton,positif
YouTube,"Baru nonton tadi malam,kekeh x nonton-nya,ga rugi beli tiketnya,pingin nonton lagi krna lucu kali 🤣🤣🤣",baru nonton tadi malamkekeh x nontonnyaga rugi beli tiketnyapingin nonton lagi krna lucu kali ,nonton malamkekeh x nontonnyaga rugi beli tiketnyapingin nonton krna lucu kali,nonton malamkekeh x nontonnyaga rugi beli tiketnyapingin nonton krna lucu kali,positif
YouTube,Udah lama banget loh indonesia gk buat film horor bertema komedi,udah lama banget loh indonesia gk buat film horor bertema komedi,udah banget loh indonesia gk film horor bertema komedi,udah banget loh indonesia gk film horor tema komedi,netral
YouTube,"Bru td mlm nnton, pengwn nnton lagi",bru td mlm nnton pengwn nnton lagi,bru td mlm nnton pengwn nnton,bru td mlm nnton pengwn nnton,netral
YouTube,Keren nih filmnya😂😂,keren nih filmnya,keren nih filmnya,keren nih film,positif
YouTube,Gak berenti ngakak dr awal sampe akhir.. Gila si ni film lucunya natural gitu.. 🤣🤣,gak berenti ngakak dr awal sampe akhir gila si ni film lucunya natural gitu ,gak berenti ngakak dr sampe gila si ni film lucunya natural gitu,gak renti ngakak dr sampe gila si ni film lucu natural gitu,positif
YouTube,"Sebenarnya lucu, tapi karena Adi Ari kriting jdi males nonton.. sok-sokan kritik pak Prabowo..",sebenarnya lucu tapi karena adi ari kriting jdi males nonton soksokan kritik pak prabowo,lucu adi ari kriting jdi males nonton soksokan kritik prabowo,lucu adi ari kriting jdi males nonton soksokan kritik prabowo,positif
YouTube,Klu ad season 2 nya mantap juga ya😂😂😂,klu ad season  nya mantap juga ya,klu ad season nya mantap ya,klu ad season nya mantap ya,positif
YouTube,"Buat Produser, Sutradara,Star n crew nya AGAK LAEN....
I WANT TO SAY tengkiyu pakai banget....udah lama gue gak NGAKAK....anak gue sampe nangis di scene kehilangan mamak...Kalian KEREN. Makasih yaaa...🎉🎉🎉","buat produser sutradarastar n crew nya agak laen
i want to say tengkiyu pakai bangetudah lama gue gak ngakakanak gue sampe nangis di scene kehilangan mamakkalian keren makasih yaaa",produser sutradarastar n crew nya laen i want to say tengkiyu pakai bangetudah gue gak ngakakanak gue sampe nangis scene kehilangan mamakkalian keren makasih yaaa,produser sutradarastar n crew nya laen i want to say tengkiyu pakai bangetudah gue gak ngakakanak gue sampe nang scene hilang mamakkalian keren makasih yaaa,positif
YouTube,Watdehel,watdehel,watdehel,watdehel,netral
YouTube,"Gpp lo gausah nonton, lagian filmnya udah tembus 5 juta penonton kok dan akan terus bertambah❤",gpp lo gausah nonton lagian filmnya udah tembus  juta penonton kok dan akan terus bertambah,gpp lo gausah nonton filmnya udah tembus juta penonton bertambah,gpp lo gausah nonton film udah tembus juta tonton tambah,netral
YouTube,Keren banget,keren banget,keren banget,keren banget,positif
YouTube,"Gak rugi beli tiket untuk film selucu ini,, hanya saja endingnya terlalu biasa, mudah ditebak,, juga penyelidikannya kurang dramatis.. selebihnya seru banget. Menghibur",gak rugi beli tiket untuk film selucu ini hanya saja endingnya terlalu biasa mudah ditebak juga penyelidikannya kurang dramatis selebihnya seru banget menghibur,gak rugi beli tiket film selucu endingnya mudah ditebak penyelidikannya dramatis selebihnya seru banget menghibur,gak rugi beli tiket film lucu endingnya mudah tebak lidi dramatis lebih seru banget hibur,positif
YouTube,Pasti tahun depan ada Agak lain part 2,pasti tahun depan ada agak lain part ,part,part,netral
YouTube,😂❤❤❤ 4 Bodat tercinta..,  bodat tercinta,bodat tercinta,bodat cinta,netral
YouTube,Kerren sih 😂😂😂😂,kerren sih ,kerren sih,kerren sih,netral
YouTube,"Gak nyesel nontonnya!!  Dari awal sampe akhir ngakak trus, alur cerita juga bagus good job abang abanggg",gak nyesel nontonnya  dari awal sampe akhir ngakak trus alur cerita juga bagus good job abang abanggg,gak nyesel nontonnya sampe ngakak trus alur cerita bagus good job abang abanggg,gak nyesel nontonnya sampe ngakak trus alur cerita bagus good job abang abanggg,positif
YouTube,Anak medan wajib nonton yang satu ini,anak medan wajib nonton yang satu ini,anak medan wajib nonton,anak medan wajib nonton,netral
YouTube,Boris ganteng bett😭😭,boris ganteng bett,boris ganteng bett,bor ganteng bett,netral
YouTube,"gua dari indonesia timur. nonton film komedinya ernest prakarsa gak pernah ketawa. giliran tahu ada jokes gerombolan batak ini entah kenapa cocok bgt sama selera humor gua. sense of humornya lebih dapat. tingkatkan abang2, maju terus!!!",gua dari indonesia timur nonton film komedinya ernest prakarsa gak pernah ketawa giliran tahu ada jokes gerombolan batak ini entah kenapa cocok bgt sama selera humor gua sense of humornya lebih dapat tingkatkan abang maju terus,gua indonesia timur nonton film komedinya ernest prakarsa gak ketawa giliran jokes gerombolan batak cocok bgt selera humor gua sense of humornya tingkatkan abang maju,gua indonesia timur nonton film komedi ernest prakarsa gak ketawa gilir jokes gerombol batak cocok bgt selera humor gua sense of humor tingkat abang maju,netral
YouTube,😂😂lucu..sy ksh nilai 10,lucusy ksh nilai ,lucusy ksh nilai,lucusy ksh nilai,positif
YouTube,Kacooo paraahhh anjritt ngakakk😅😅😅😅,kacooo paraahhh anjritt ngakakk,kacooo paraahhh anjritt ngakakk,kacooo paraahhh anjritt ngakakk,netral
YouTube,angin duduk wkwkwk,angin duduk wkwkwk,angin duduk wkwkwk,angin duduk wkwkwk,netral
YouTube,NGAKAK PUOOLLLL🤣🤣,ngakak puoollll,ngakak puoollll,ngakak puoollll,netral
YouTube,The best ! Sudah nonton. Dan saya jarang nonton film produksi Indonesia,the best  sudah nonton dan saya jarang nonton film produksi indonesia,the best nonton jarang nonton film produksi indonesia,the best nonton jarang nonton film produksi indonesia,netral
YouTube,"aku baru tadi siang nonton, film nya seru banget",aku baru tadi siang nonton film nya seru banget,siang nonton film nya seru banget,siang nonton film nya seru banget,positif
YouTube,udah rilis,udah rilis,udah rilis,udah rilis,netral
YouTube,Keren 👍,keren ,keren,keren,positif
YouTube,lucu bgtttt,lucu bgtttt,lucu bgtttt,lucu bgtttt,positif
YouTube,sampe kapan filmnya?,sampe kapan filmnya,sampe filmnya,sampe film,netral
YouTube,Judul nya aja udah Lucu Agak Laen wkwkwkk😂,judul nya aja udah lucu agak laen wkwkwkk,judul nya aja udah lucu laen wkwkwkk,judul nya aja udah lucu laen wkwkwkk,positif
YouTube,JANGAN SPOILER PAK,jangan spoiler pak,spoiler,spoiler,netral
YouTube,Mantaps  9/10,mantaps  ,mantaps,mantaps,positif
YouTube,Keren nih film,keren nih film,keren nih film,keren nih film,positif
YouTube,"Gilaaa keren banget film nyaa. Lucu nya dapet banget sampe ketawa ngakak, real film komedi. Trus drama dan premis nya tetep dapet. Wajib ditonton",gilaaa keren banget film nyaa lucu nya dapet banget sampe ketawa ngakak real film komedi trus drama dan premis nya tetep dapet wajib ditonton,gilaaa keren banget film nyaa lucu nya dapet banget sampe ketawa ngakak real film komedi trus drama premis nya tetep dapet wajib ditonton,gilaaa keren banget film nyaa lucu nya dapet banget sampe ketawa ngakak real film komedi trus drama premis nya tetep dapet wajib tonton,positif
YouTube,"Edan 
Wkkkkkkk
Tawa nangis.. Nangis sampe ketawa..","edan 
wkkkkkkk
tawa nangis nangis sampe ketawa",edan wkkkkkkk tawa nangis nangis sampe ketawa,edan wkkkkkkk tawa nang nang sampe ketawa,netral
YouTube,Ada suami istri yg main 😊,ada suami istri yg main ,suami istri yg main,suami istri yg main,netral
YouTube,"Baru sempet nonton hari ini , dr awal sampe akhir geeerr",baru sempet nonton hari ini  dr awal sampe akhir geeerr,sempet nonton dr sampe geeerr,sempet nonton dr sampe geeerr,netral
YouTube,Kemaren aku baru nonton ... Sumpah kocak banget seruuuuuuuuu .... Gak kan nyesel nonton ini,kemaren aku baru nonton  sumpah kocak banget seruuuuuuuuu  gak kan nyesel nonton ini,kemaren nonton sumpah kocak banget seruuuuuuuuu gak nyesel nonton,kemaren nonton sumpah kocak banget seruuuuuuuuu gak nyesel nonton,positif
YouTube,"Sumpah gak munafik b aja joks"" nya gak ada lucu"" nya padahal gwa orang gampang ketawa",sumpah gak munafik b aja joks nya gak ada lucu nya padahal gwa orang gampang ketawa,sumpah gak munafik b aja joks nya gak lucu nya gwa orang gampang ketawa,sumpah gak munafik b aja joks nya gak lucu nya gwa orang gampang ketawa,positif
YouTube,"""Apanya jawa jawa ini"" wkwwkwwkwk bangke",apanya jawa jawa ini wkwwkwwkwk bangke,apanya jawa jawa wkwwkwwkwk bangke,apa jawa jawa wkwwkwwkwk bangke,netral
YouTube,"Kemaren malem nonton,lucu bett😂",kemaren malem nontonlucu bett,kemaren malem nontonlucu bett,kemaren malem nontonlucu bett,positif
YouTube,ini pelem bener2 bikin ngakak...,ini pelem bener bikin ngakak,pelem bener bikin ngakak,lem bener bikin ngakak,netral
YouTube,Ga berhenti ngakak terus😂,ga berhenti ngakak terus,ga berhenti ngakak,ga henti ngakak,netral
YouTube,Entah apa lucu nya pilem ini..agak laen memang,entah apa lucu nya pilem iniagak laen memang,lucu nya pilem iniagak laen,lucu nya pilem iniagak laen,positif
YouTube,wkwkw lucuu 1 studio auto ketawa,wkwkw lucuu  studio auto ketawa,wkwkw lucuu studio auto ketawa,wkwkw lucuu studio auto ketawa,positif
YouTube,Diluar ekspektasi oki rengga menyala,diluar ekspektasi oki rengga menyala,diluar ekspektasi oki rengga menyala,luar ekspektasi oki rengga nyala,netral
YouTube,Gasabar nonton nanti jam 9😂,gasabar nonton nanti jam ,gasabar nonton jam,gasabar nonton jam,netral
YouTube,9.9,,,,netral
YouTube,Syumpah kalian wajib nonton ini ngakak sampe mau pipis 🤣🤣🤣,syumpah kalian wajib nonton ini ngakak sampe mau pipis ,syumpah wajib nonton ngakak sampe pipis,syumpah wajib nonton ngakak sampe pipis,netral
YouTube,"KEMAREN BARU NONTON, GILA NAGIH BGT 😭😭😭 PENGEN YG KE 2 BURU2",kemaren baru nonton gila nagih bgt  pengen yg ke  buru,kemaren nonton gila nagih bgt pengen yg buru,kemaren nonton gila nagih bgt ken yg buru,netral
YouTube,Mau liat lagi anak saya minta lagi hahahahah lucuuu kaliii,mau liat lagi anak saya minta lagi hahahahah lucuuu kaliii,liat anak hahahahah lucuuu kaliii,liat anak hahahahah lucuuu kaliii,positif
YouTube,Lucu parah nich film,lucu parah nich film,lucu parah nich film,lucu parah nich film,positif
YouTube,Udah nonton worth bangett,udah nonton worth bangett,udah nonton worth bangett,udah nonton worth bangett,netral
YouTube,Film ny oke..aq suka,film ny okeaq suka,film ny okeaq suka,film ny okeaq suka,positif
YouTube,Parah ini film lavvak asli ngakak gua rekomended banget 😅😅😂,parah ini film lavvak asli ngakak gua rekomended banget ,parah film lavvak asli ngakak gua rekomended banget,parah film lavvak asli ngakak gua rekomended banget,netral
YouTube,Sopan kali kau manggil hantu 😅😅,sopan kali kau manggil hantu ,sopan kali kau manggil hantu,sopan kali kau manggil hantu,netral
YouTube,Layak ditunggu 👍,layak ditunggu ,layak ditunggu,layak tunggu,netral
YouTube,PECAAHHH,pecaahhh,pecaahhh,pecaahhh,netral
YouTube,"Gokil filmnya...!! Lucu banget, jamin setiap 5 menit ngakak terus... Jadi ingat warkop DKI
Karakter masing masing pemain kuat banget....","gokil filmnya lucu banget jamin setiap  menit ngakak terus jadi ingat warkop dki
karakter masing masing pemain kuat banget",gokil filmnya lucu banget jamin menit ngakak warkop dki karakter pemain kuat banget,gokil film lucu banget jamin menit ngakak warkop dki karakter main kuat banget,positif
YouTube,Udh nnton film agak laen td di bioskop... asli ngakak satu bioskop..alur film nya bagus.. ada pelajaran.. ada komedi.. ada horor.. ada sedih.. emng agak laen ni film😂,udh nnton film agak laen td di bioskop asli ngakak satu bioskopalur film nya bagus ada pelajaran ada komedi ada horor ada sedih emng agak laen ni film,udh nnton film laen td bioskop asli ngakak bioskopalur film nya bagus pelajaran komedi horor sedih emng laen ni film,udh nnton film laen td bioskop asli ngakak bioskopalur film nya bagus ajar komedi horor sedih emng laen ni film,positif
YouTube,barusan nonton ngakak sampai nangis 😂😂😂😂,barusan nonton ngakak sampai nangis ,barusan nonton ngakak nangis,barusan nonton ngakak nang,netral
YouTube,Film komedi terbaik 2024,film komedi terbaik ,film komedi terbaik,film komedi baik,netral
YouTube,Wahhh pengen nnton 😢,wahhh pengen nnton ,wahhh pengen nnton,wahhh ken nnton,netral
YouTube,Udah nonton 5/10,udah nonton ,udah nonton,udah nonton,netral
YouTube,mamat gunshop......,mamat gunshop,mamat gunshop,mamat gunshop,netral
YouTube,"Baru ntn ini film, dan SUMPAHH KOCAAK 🤣🤣🤣",baru ntn ini film dan sumpahh kocaak ,ntn film sumpahh kocaak,ntn film sumpahh kocaak,netral
YouTube,Mas jegel klo dandan gtu jd agak mirip sm alm.kasino😢...q jd inget beliau...,mas jegel klo dandan gtu jd agak mirip sm almkasinoq jd inget beliau,mas jegel klo dandan gtu jd sm almkasinoq jd inget beliau,mas jegel klo dandan gtu jd sm almkasinoq jd inget beliau,netral
YouTube,"bukan rumah hantu,tapi rumah orang miskin🤣🤣🤣🤣",bukan rumah hantutapi rumah orang miskin,rumah hantutapi rumah orang miskin,rumah hantutapi rumah orang miskin,netral
YouTube,Masterpiece of comedy,masterpiece of comedy,masterpiece of comedy,masterpiece of comedy,netral
YouTube,Nagih banget liat film nya bang ditunggu agak lain 2 😅,nagih banget liat film nya bang ditunggu agak lain  ,nagih banget liat film nya bang ditunggu,nagih banget liat film nya bang tunggu,netral
YouTube,Film terkereeeeeeeeeennnnnnnn :face-red-heart-shape:,film terkereeeeeeeeeennnnnnnn faceredheartshape,film terkereeeeeeeeeennnnnnnn faceredheartshape,film terkereeeeeeeeeennnnnnnn faceredheartshape,netral
YouTube,Komedi..😮😮. Gini dong horor tu harus lucu. Santai lucu. Suka..❤❤.,komedi gini dong horor tu harus lucu santai lucu suka,komedi gini horor tu lucu santai lucu suka,komedi gin horor tu lucu santai lucu suka,positif
YouTube,Gilak! Baru nonton trailernya aja udah berasa seru banget filmnya. Wajib go international nih film!,gilak baru nonton trailernya aja udah berasa seru banget filmnya wajib go international nih film,gilak nonton trailernya aja udah berasa seru banget filmnya wajib go international nih film,gilak nonton trailer aja udah asa seru banget film wajib go international nih film,positif
YouTube,Akhirnya oki di ajak maen film juga🤣,akhirnya oki di ajak maen film juga,oki ajak maen film,oki ajak maen film,netral
YouTube,Serrru😂,serrru,serrru,serrru,netral
YouTube,Semalaam baru nonton asli kocak bgt...untung di penjaranya gak lama.. sedihnya dpt horornya dpt apalagi lucunya dpt,semalaam baru nonton asli kocak bgtuntung di penjaranya gak lama sedihnya dpt horornya dpt apalagi lucunya dpt,semalaam nonton asli kocak bgtuntung penjaranya gak sedihnya dpt horornya dpt lucunya dpt,semalaam nonton asli kocak bgtuntung penjara gak sedih dpt horor dpt lucu dpt,positif
YouTube,"Udah nonton filmnya Sabtu kemaren. Lucu parah, keren sih ini film. Akhirnya ada film komedi yang bener2 bisa mengocok perut. Semoga ada film2 lainnya dari kuartet Agak Laen ini.

Sangat direkomendasikan untuk nonton.","udah nonton filmnya sabtu kemaren lucu parah keren sih ini film akhirnya ada film komedi yang bener bisa mengocok perut semoga ada film lainnya dari kuartet agak laen ini

sangat direkomendasikan untuk nonton",udah nonton filmnya sabtu kemaren lucu parah keren sih film film komedi bener mengocok perut semoga film kuartet laen direkomendasikan nonton,udah nonton film sabtu kemaren lucu parah keren sih film film komedi bener kocok perut moga film kuartet laen rekomendasi nonton,positif
YouTube,Wkwkk lucu bgt lagi,wkwkk lucu bgt lagi,wkwkk lucu bgt,wkwkk lucu bgt,positif
